session started|2016-06-15T19:19:18.211Z
starting user level,points|1,319
user level,points|1,319|2016-06-15T19:19:18.897Z
user level,points|1,320|2016-06-15T19:19:19.916Z
tic detected|2016-06-15T19:19:20.170Z
user level,points|1,322|2016-06-15T19:19:20.935Z
tic detected|2016-06-15T19:19:20.962Z
user level,points|1,322|2016-06-15T19:19:21.957Z
tic detected|2016-06-15T19:19:22.408Z
user level,points|1,322|2016-06-15T19:19:22.975Z
user level,points|1,322|2016-06-15T19:19:23.992Z
user level,points|1,323|2016-06-15T19:19:25.013Z
user level,points|1,325|2016-06-15T19:19:26.026Z
user level,points|1,328|2016-06-15T19:19:27.044Z
user level,points|1,332|2016-06-15T19:19:28.060Z
user level,points|1,337|2016-06-15T19:19:29.073Z
user level,points|1,343|2016-06-15T19:19:30.091Z
user level,points|1,350|2016-06-15T19:19:31.109Z
user level,points|1,358|2016-06-15T19:19:32.128Z
user level,points|1,367|2016-06-15T19:19:33.146Z
user level,points|1,377|2016-06-15T19:19:34.163Z
user level,points|1,387|2016-06-15T19:19:35.179Z
user level,points|1,397|2016-06-15T19:19:36.195Z
tic detected|2016-06-15T19:19:36.570Z
user level,points|1,407|2016-06-15T19:19:37.222Z
user level,points|1,407|2016-06-15T19:19:38.246Z
user level,points|1,408|2016-06-15T19:19:39.268Z
user level,points|1,410|2016-06-15T19:19:40.287Z
user level,points|1,413|2016-06-15T19:19:41.307Z
user level,points|1,417|2016-06-15T19:19:42.348Z
user level,points|1,422|2016-06-15T19:19:43.364Z
user level,points|1,428|2016-06-15T19:19:44.385Z
user level,points|1,435|2016-06-15T19:19:45.405Z
user level,points|1,443|2016-06-15T19:19:46.425Z
user level,points|1,452|2016-06-15T19:19:47.442Z
user level,points|1,462|2016-06-15T19:19:48.463Z
user level,points|1,472|2016-06-15T19:19:49.484Z
user level,points|1,482|2016-06-15T19:19:50.503Z
user level,points|1,492|2016-06-15T19:19:51.521Z
tic detected|2016-06-15T19:19:52.348Z
user level,points|1,502|2016-06-15T19:19:52.537Z
user level,points|1,502|2016-06-15T19:19:53.552Z
user level,points|1,503|2016-06-15T19:19:54.567Z
user level,points|1,505|2016-06-15T19:19:55.585Z
user level,points|1,508|2016-06-15T19:19:56.602Z
user level,points|1,512|2016-06-15T19:19:57.621Z
user level,points|1,517|2016-06-15T19:19:58.638Z
user level,points|1,523|2016-06-15T19:19:59.655Z
user level,points|1,530|2016-06-15T19:20:00.676Z
user level,points|1,538|2016-06-15T19:20:01.709Z
user level,points|1,547|2016-06-15T19:20:02.726Z
user level,points|1,557|2016-06-15T19:20:03.744Z
user level,points|1,567|2016-06-15T19:20:04.762Z
user level,points|1,577|2016-06-15T19:20:05.777Z
user level,points|1,587|2016-06-15T19:20:06.789Z
user level,points|1,597|2016-06-15T19:20:07.802Z
user level,points|1,607|2016-06-15T19:20:08.818Z
user level,points|1,617|2016-06-15T19:20:09.837Z
user level,points|1,627|2016-06-15T19:20:10.849Z
user level,points|1,637|2016-06-15T19:20:11.863Z
user level,points|1,647|2016-06-15T19:20:12.882Z
user level,points|1,657|2016-06-15T19:20:13.895Z
user level,points|1,667|2016-06-15T19:20:14.912Z
user level,points|1,677|2016-06-15T19:20:15.935Z
user level,points|1,687|2016-06-15T19:20:16.955Z
user level,points|1,697|2016-06-15T19:20:17.977Z
user level,points|1,707|2016-06-15T19:20:18.994Z
user level,points|1,717|2016-06-15T19:20:20.016Z
user level,points|1,727|2016-06-15T19:20:21.031Z
user level,points|1,737|2016-06-15T19:20:22.059Z
user level,points|1,747|2016-06-15T19:20:23.087Z
user level,points|1,757|2016-06-15T19:20:24.101Z
user level,points|1,767|2016-06-15T19:20:25.113Z
user level,points|1,777|2016-06-15T19:20:26.131Z
tic detected|2016-06-15T19:20:27.048Z
user level,points|1,787|2016-06-15T19:20:27.146Z
user level,points|1,787|2016-06-15T19:20:28.162Z
user level,points|1,788|2016-06-15T19:20:29.182Z
user level,points|1,790|2016-06-15T19:20:30.199Z
user level,points|1,793|2016-06-15T19:20:31.219Z
user level,points|1,797|2016-06-15T19:20:32.235Z
user level,points|1,802|2016-06-15T19:20:33.256Z
user level,points|1,808|2016-06-15T19:20:34.272Z
user level,points|1,815|2016-06-15T19:20:35.290Z
user level,points|1,823|2016-06-15T19:20:36.307Z
user level,points|1,832|2016-06-15T19:20:37.326Z
user level,points|1,842|2016-06-15T19:20:38.348Z
user level,points|1,852|2016-06-15T19:20:39.366Z
user level,points|1,862|2016-06-15T19:20:40.381Z
user level,points|1,872|2016-06-15T19:20:41.400Z
user level,points|1,882|2016-06-15T19:20:42.416Z
user level,points|1,892|2016-06-15T19:20:43.432Z
user level,points|1,902|2016-06-15T19:20:44.459Z
user level,points|1,912|2016-06-15T19:20:45.476Z
user level,points|1,922|2016-06-15T19:20:46.489Z
user level,points|1,932|2016-06-15T19:20:47.502Z
user level,points|1,942|2016-06-15T19:20:48.515Z
user level,points|1,952|2016-06-15T19:20:49.526Z
user level,points|1,962|2016-06-15T19:20:50.541Z
user level,points|1,972|2016-06-15T19:20:51.555Z
user level,points|1,982|2016-06-15T19:20:52.570Z
user level,points|1,992|2016-06-15T19:20:53.582Z
user level,points|2,1002|2016-06-15T19:20:55.596Z
user level,points|2,1016|2016-06-15T19:20:57.612Z
user level,points|2,1034|2016-06-15T19:20:59.632Z
user level,points|2,1056|2016-06-15T19:21:01.652Z
user level,points|2,1082|2016-06-15T19:21:03.670Z
user level,points|2,1112|2016-06-15T19:21:05.688Z
user level,points|2,1146|2016-06-15T19:21:07.701Z
user level,points|2,1184|2016-06-15T19:21:09.714Z
user level,points|2,1224|2016-06-15T19:21:11.727Z
user level,points|2,1264|2016-06-15T19:21:13.744Z
user level,points|2,1304|2016-06-15T19:21:15.765Z
user level,points|2,1344|2016-06-15T19:21:17.786Z
user level,points|2,1384|2016-06-15T19:21:19.804Z
user level,points|2,1424|2016-06-15T19:21:21.819Z
user level,points|2,1464|2016-06-15T19:21:23.830Z
user level,points|2,1504|2016-06-15T19:21:25.844Z
user level,points|2,1544|2016-06-15T19:21:27.875Z
user level,points|2,1584|2016-06-15T19:21:29.894Z
user level,points|2,1624|2016-06-15T19:21:31.913Z
user level,points|2,1664|2016-06-15T19:21:33.931Z
user level,points|2,1704|2016-06-15T19:21:35.944Z
user level,points|2,1744|2016-06-15T19:21:37.964Z
user level,points|2,1784|2016-06-15T19:21:39.982Z
user level,points|2,1824|2016-06-15T19:21:42.000Z
user level,points|2,1864|2016-06-15T19:21:44.024Z
user level,points|2,1904|2016-06-15T19:21:46.039Z
user level,points|2,1944|2016-06-15T19:21:48.060Z
user level,points|2,1984|2016-06-15T19:21:50.078Z
user level,points|2,2024|2016-06-15T19:21:52.091Z
user level,points|2,2064|2016-06-15T19:21:54.105Z
user level,points|2,2104|2016-06-15T19:21:56.119Z
user level,points|2,2144|2016-06-15T19:21:58.135Z
user level,points|2,2184|2016-06-15T19:22:00.148Z
tic detected|2016-06-15T19:22:01.756Z
user level,points|2,2224|2016-06-15T19:22:02.160Z
tic detected|2016-06-15T19:22:02.233Z
tic detected|2016-06-15T19:22:02.481Z
user level,points|2,2224|2016-06-15T19:22:04.174Z
user level,points|2,2224|2016-06-15T19:22:06.188Z
user level,points|2,2228|2016-06-15T19:22:08.202Z
user level,points|2,2236|2016-06-15T19:22:10.213Z
user level,points|2,2248|2016-06-15T19:22:12.226Z
user level,points|2,2264|2016-06-15T19:22:14.355Z
user level,points|2,2284|2016-06-15T19:22:16.371Z
tic detected|2016-06-15T19:22:17.308Z
user level,points|2,2308|2016-06-15T19:22:18.384Z
user level,points|2,2308|2016-06-15T19:22:20.403Z
user level,points|2,2312|2016-06-15T19:22:22.416Z
user level,points|2,2320|2016-06-15T19:22:24.427Z
user level,points|2,2332|2016-06-15T19:22:26.438Z
user level,points|2,2348|2016-06-15T19:22:28.451Z
user level,points|2,2368|2016-06-15T19:22:30.464Z
user level,points|2,2392|2016-06-15T19:22:32.482Z
user level,points|2,2420|2016-06-15T19:22:34.498Z
user level,points|2,2452|2016-06-15T19:22:36.511Z
user level,points|2,2488|2016-06-15T19:22:38.525Z
user level,points|2,2528|2016-06-15T19:22:40.538Z
user level,points|2,2568|2016-06-15T19:22:42.554Z
user level,points|2,2608|2016-06-15T19:22:44.570Z
user level,points|2,2648|2016-06-15T19:22:46.584Z
user level,points|2,2688|2016-06-15T19:22:48.601Z
session ended|2016-06-15T19:22:49.797Z
user level,points|2,2728|2016-06-15T19:22:50.617Z
****************
Report:
session length|211586
levels gained|1
points earned|2409
number of tics|10
longest tic free interval|94708
number of 10s tic free intervals|5
