session started|2016-06-13T22:45:42.226Z
starting user level,points|2,4354
user level,points|3,9789|2016-06-13T22:50:00.547Z
user level,points|3,9879|2016-06-13T22:50:03.561Z
user level,points|3,9969|2016-06-13T22:50:06.575Z
user level,points|3,10059|2016-06-13T22:50:09.587Z
user level,points|3,10149|2016-06-13T22:50:12.606Z
user level,points|3,10239|2016-06-13T22:50:15.620Z
user level,points|3,10329|2016-06-13T22:50:18.634Z
user level,points|3,10419|2016-06-13T22:50:21.650Z
user level,points|3,10509|2016-06-13T22:50:24.668Z
user level,points|3,10599|2016-06-13T22:50:27.681Z
user level,points|3,10689|2016-06-13T22:50:30.700Z
user level,points|3,10779|2016-06-13T22:50:33.716Z
user level,points|3,10869|2016-06-13T22:50:36.729Z
user level,points|3,10959|2016-06-13T22:50:39.742Z
user level,points|3,11049|2016-06-13T22:50:42.765Z
user level,points|3,11139|2016-06-13T22:50:45.786Z
user level,points|3,11229|2016-06-13T22:50:48.806Z
user level,points|3,11319|2016-06-13T22:50:51.827Z
user level,points|3,11409|2016-06-13T22:50:54.839Z
user level,points|3,11499|2016-06-13T22:50:57.859Z
user level,points|3,11589|2016-06-13T22:51:00.877Z
user level,points|3,11679|2016-06-13T22:51:03.895Z
user level,points|3,11769|2016-06-13T22:51:06.908Z
user level,points|3,11859|2016-06-13T22:51:09.929Z
user level,points|3,11949|2016-06-13T22:51:12.949Z
user level,points|3,12039|2016-06-13T22:51:15.971Z
user level,points|3,12129|2016-06-13T22:51:18.987Z
user level,points|3,12219|2016-06-13T22:51:22.005Z
user level,points|3,12309|2016-06-13T22:51:25.027Z
user level,points|3,12399|2016-06-13T22:51:28.039Z
user level,points|3,12489|2016-06-13T22:51:31.062Z
user level,points|3,12579|2016-06-13T22:51:34.076Z
user level,points|3,12669|2016-06-13T22:51:37.090Z
user level,points|3,12759|2016-06-13T22:51:40.104Z
user level,points|3,12849|2016-06-13T22:51:43.119Z
user level,points|3,12939|2016-06-13T22:51:46.133Z
user level,points|3,13029|2016-06-13T22:51:49.154Z
user level,points|3,13119|2016-06-13T22:51:52.178Z
user level,points|3,13209|2016-06-13T22:51:55.195Z
user level,points|3,13299|2016-06-13T22:51:58.212Z
user level,points|3,13389|2016-06-13T22:52:01.227Z
user level,points|3,13479|2016-06-13T22:52:04.245Z
